DEBUG - 2024-06-07 13:21:14,143 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,143 - File C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1716712061.9854312 

DEBUG - 2024-06-07 13:21:14,143 - File C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\allauth\socialaccount\apps.py first seen with mtime 1716712090.4807496 

DEBUG - 2024-06-07 13:21:14,145 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1701955266.0 

DEBUG - 2024-06-07 13:21:14,145 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\asyncio\transports.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,145 - File C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1716712067.5474777 

DEBUG - 2024-06-07 13:21:14,145 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,146 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\zipfile\_path\glob.py first seen with mtime 1701955216.0 

DEBUG - 2024-06-07 13:21:14,146 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,146 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\gettext.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,146 - File C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1716712067.3769639 

DEBUG - 2024-06-07 13:21:14,147 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,147 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\asyncio\sslproto.py first seen with mtime 1701955214.0 

DEBUG - 2024-06-07 13:21:14,147 - File C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1716712067.381318 

DEBUG - 2024-06-07 13:21:14,148 - File C:\Users\Igor\AppData\Local\Programs\Python\Python312\Lib\textwrap.py first seen with mtime 1701955216.0 

INFO - 2024-09-01 22:01:40,846 - Watching for file changes with StatReloader 

DEBUG - 2024-09-01 22:01:40,848 - Waiting for apps ready_event. 

DEBUG - 2024-09-01 22:01:41,805 - Apps ready_event triggered. Sending autoreload_started signal. 

DEBUG - 2024-09-01 22:01:41,911 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\rest_framework\templates with glob **/*. 

DEBUG - 2024-09-01 22:01:41,912 - Watching dir C:\Users\Igor\Projects\online_store\templates with glob **/*. 

DEBUG - 2024-09-01 22:01:41,912 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django_filters\templates with glob **/*. 

DEBUG - 2024-09-01 22:01:41,912 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\allauth\templates with glob **/*. 

DEBUG - 2024-09-01 22:01:41,913 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\drf_spectacular\templates with glob **/*. 

DEBUG - 2024-09-01 22:01:41,913 - Watching dir C:\Users\Igor\Projects\online_store\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,913 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\modeltranslation\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,914 - Watching dir C:\Users\Igor\Projects\online_store\simpleapp\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,914 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\django_filters\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,914 - Watching dir C:\Users\Igor\Projects\online_store\fpages\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,914 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\allauth\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,914 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo. 

DEBUG - 2024-09-01 22:01:41,915 - Watching dir C:\Users\Igor\Projects\online_store\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo. 

